ID,,,SITE,,,,,,,,,,TYPE_CHANGE,CROP AND LAND USE ,,,,,,,,,,,SOIL MANAGEMENT INFO,,,,,,,,,,DATA,,,,CURRENT SOC AND SOIL CHARACTERISTICS,,,,,,,,,,,,,,,,PREVIOUS SOC AND SOIL CHARACTERISTICS,,,,,,,,,,,,,,,SOURCE,
ID,IDstudy,plotID,country,region,temperature_Celsiul,precipitation_mm,climate,Latitud,Longitud,bedrock,soil_type,USDA,TYPE_CHANGE,CROP_current,CROP_type,cropAGE,current_land_use*,LUC_this_study,previous_land_use*,years_since_luc,TEMPORAL_only_this study,timeTEMPORAL,CHANGE_management,year_since_MANAGEMENT_CHANGE,soil_treatments,tillageYESNO,tillage_type,fertilizerYESNO,fet_type,rate_fertilizer_kh_ha,pesticides,org_amendYESNO,org_amend_type,prev_man,SINGLE_DATA-MULTIPLE_SINGLEAMPLING,DIF_DEPTH_current_point,CONTI_DEPTH,NUM_DEPTH,year_measure,N_plots_current,N_sample_per_plot_current,N_measured_current,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_g_kg_current,sd_SOC_gkg_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,N_plots_previous,N_sample_per_plot_previous,N_measured_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_g_kg_previous,sd_SOC_gkg_previous,SOC_Mg_ha_previous,sd_SOC_Mgha_previous,yearPpub,Original_source
21,2,5,Canada,Meadow_Lake,1.2,344,Boreal,54.0279,-108.75,Calcareous_glacial,OrthicGrayLuvisol,NA,TEMP,Poplar,woody,7,SRC,NO,NA,NA,YES,7,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,NO,NA,1,2010,1,5,5,0,10,5,NA,NA,NA,NA,4.3,13.3,NA,NA,NA,1,5,5,0,10,5,NA,NA,NA,NA,NA,15,NA,NA,NA,2014,"Yannikos, N., Leinweber, P., Helgason, B.L., Baum, C., Walley, F.L. and Van Rees, K.C., 2014. Impact of Populus trees on the composition of organic matter and the soil microbial community in Orthic Gray Luvisols in Saskatchewan (Canada). Soil Biology and Biochemistry, 70, pp. 5-11."
22,3,7,USA,Aksarben,10,772,Temperate,41.2473,-96.0071,NA,NA,NA,LUC,Switchgrass,grass,15,bioenergy,YES,annual_crop,15,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,YES,4,2013,NA,NA,1,0,15,7.5,NA,45.7,51.2,3.1,6.6,25.5,NA,NA,NA,NA,NA,1,0,15,7.5,NA,NA,NA,NA,NA,17.5,NA,NA,NA,2014,"Blanco-Canqui, H., Gilley, J.E., Eisenhauer, D.E., Jasa, P.J. and Boldt, A., 2014. Soil carbon accumulation under switchgrass barriers. Agronomy Journal, 106(6), pp.2185-2192."
23,3,7,USA,Aksarben,10,772,Temperate,41.2473,-96.0071,NA,NA,NA,LUC,Switchgrass,grass,15,bioenergy,YES,annual_crop,15,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,YES,4,2013,NA,NA,1,15,30,22.5,NA,45.7,51.2,3.1,6.6,11,NA,NA,NA,NA,NA,1,15,30,22.5,NA,NA,NA,NA,NA,9,NA,NA,NA,2014,"Blanco-Canqui, H., Gilley, J.E., Eisenhauer, D.E., Jasa, P.J. and Boldt, A., 2014. Soil carbon accumulation under switchgrass barriers. Agronomy Journal, 106(6), pp.2185-2192."
24,3,7,USA,Aksarben,10,772,Temperate,41.2473,-96.0071,NA,NA,NA,LUC,Switchgrass,grass,15,bioenergy,YES,annual_crop,15,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,YES,4,2013,NA,NA,1,30,45,37.5,NA,45.7,51.2,3.1,6.6,8,NA,NA,NA,NA,NA,1,30,45,37.5,NA,NA,NA,NA,NA,8,NA,NA,NA,2014,"Blanco-Canqui, H., Gilley, J.E., Eisenhauer, D.E., Jasa, P.J. and Boldt, A., 2014. Soil carbon accumulation under switchgrass barriers. Agronomy Journal, 106(6), pp.2185-2192."
25,3,7,USA,Aksarben,10,772,Temperate,41.2473,-96.0071,NA,NA,NA,LUC,Switchgrass,grass,15,bioenergy,YES,annual_crop,15,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES,YES,4,2013,NA,NA,1,45,60,52.5,NA,45.7,51.2,3.1,6.6,5,NA,NA,NA,NA,NA,1,45,60,52.5,NA,NA,NA,NA,NA,5,NA,NA,NA,2014,"Blanco-Canqui, H., Gilley, J.E., Eisenhauer, D.E., Jasa, P.J. and Boldt, A., 2014. Soil carbon accumulation under switchgrass barriers. Agronomy Journal, 106(6), pp.2185-2192."
26,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,woody,17,food,YES,grassland,17,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,11,2011,NA,3,3,0,0.3,0.15,0.9,NA,NA,NA,6.83,NA,NA,290,NA,NA,3,3,0,0.3,0.15,1.01,NA,NA,NA,5.96,NA,NA,606,NA,2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
27,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,woody,17,food,YES,grassland,17,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,11,2011,NA,3,3,0.3,0.5,0.4,1.17,NA,NA,NA,7.05,NA,NA,90.1,NA,NA,3,3,0.3,0.5,0.4,1.02,NA,NA,NA,5.79,NA,NA,96.6,NA,2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
28,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,woody,17,food,YES,grassland,17,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,11,2011,NA,3,3,0.5,1,0.75,1.13,NA,NA,NA,7.04,NA,NA,263,NA,NA,3,3,0.5,1,0.75,1.45,NA,NA,NA,5.81,NA,NA,209,NA,2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
29,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,woody,17,food,YES,grassland,17,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,11,2011,NA,3,3,1,2,1.5,1.13,NA,NA,NA,5.98,NA,NA,139,NA,NA,3,3,1,2,1.5,1.33,NA,NA,NA,5.87,NA,NA,34.3,NA,2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
30,4,8,New_Zeland,Bay_of_Plenty,14.5,138,Temperate,-37.616,175.916,Volcanic,Mollic_Andosol,Vitrads/Vitricryands_Andisol,LUC,Kiwi,woody,17,food,YES,grassland,17,NO,NA,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MULTI,YES,YES,11,2011,NA,3,3,2,3,2.5,1.17,NA,NA,NA,5.37,NA,NA,77.6,NA,NA,3,3,2,3,2.5,1.18,NA,NA,NA,5.87,NA,NA,13.6,NA,2015,"Holmes, A., Müller, K., Clothier, B. and Deurer, M., 2015. Carbon sequestration in kiwifruit orchard soils at depth to mitigate carbon emissions. Communications in Soil Science and Plant Analysis, 46(sup1), pp.122-136"
