ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,temperature,precipitation_mm,Latitud,Longitud,year_measure,TYPE_CHANGE,years_since_luc,CROP_current,CROP_type,land_use,N_measured,soil_from_cm,soil_to_cm,depth_midpoint,bulk_density_Mg_m3,%clay,%silt,%sand,ph,SOC_Mg_ha,Period,delta_SOC_Mgha,%delta_SOC,csp_rank,csp_change,luc_rank
296,20,78,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,1.02,4.8,19.8,75.5,5.68,67.39,1,-10.120000000000005,-13.05637982195846,2.0,-1.0,2.0
297,20,79,Ireland,Wexford,Temperate,,,10.0,953.0,52.3369,-6.4633,2008.0,LUC,2.0,Miscanthus,grass,perennial_grass,21.0,0.0,30.0,15.0,0.83,9.9,27.1,63.1,6.78,90.25,1,7.140000000000001,8.591023944170377,2.0,-1.0,2.0
312,23,84,France,Grignon,Temperate,,Luvisol,11.5,557.0,48.85,1.966,2011.0,LUC,20.0,Miscanthus,grass,perennial_grass,4.0,15.0,30.0,22.5,1.336666666666667,,,,8.266666666666666,40.833333333333336,1,5.400000000000006,15.239887111947336,2.0,1.0,4.0
327,25,89,USA,Texas,Arid,,,15.0,466.0,33.73404,-101.7387,2010.0,LUC,5.0,Cotton,woody,perennial_woody,15.0,2.5,12.5,7.5,1.23,28.5,29.5,42.0,8.15,10.05,1,-0.5499999999999989,-5.188679245283009,2.0,-1.0,2.0
329,25,90,USA,Texas,Arid,,,15.0,466.0,33.73404,-101.7387,2010.0,LUC,5.0,Cotton,woody,perennial_woody,15.0,2.5,12.5,7.5,1.23,28.5,29.5,42.0,8.15,10.05,1,0.6000000000000014,6.349206349206364,2.0,1.0,4.0
331,25,91,USA,Texas,Arid,,,15.0,466.0,33.73404,-101.7387,2010.0,LUC,5.0,Cotton,woody,perennial_woody,15.0,2.5,12.5,7.5,1.035,28.5,29.5,42.0,7.7,6.7,1,-3.8999999999999995,-36.79245283018868,2.0,-1.0,2.0
333,25,92,USA,Texas,Arid,,,15.0,466.0,33.73404,-101.7387,2010.0,LUC,5.0,Cotton,woody,perennial_woody,15.0,2.5,12.5,7.5,1.035,28.5,29.5,42.0,7.7,6.7,1,-2.749999999999999,-29.100529100529094,2.0,1.0,4.0
350,27,96,Canada,Boisbriand,Boreal,,Melanic_Brunisol,6.8,999.6,45.616,-73.833,2007.0,LUC,1.0,Willow,woody,SRC,54.0,10.0,30.0,20.0,1.45,,,,,63.5,1,7.5,13.392857142857142,3.0,2.0,5.0
352,27,97,Canada,Boisbriand,Boreal,,Melanic_Brunisol,6.8,999.6,45.616,-73.833,2007.0,LUC,1.0,Willow,woody,SRC,54.0,10.0,30.0,20.0,1.45,,,,,63.5,1,5.0,8.547008547008547,3.0,2.0,5.0
354,27,98,Canada,Boisbriand,Boreal,,Melanic_Brunisol,6.8,999.6,45.616,-73.833,2007.0,LUC,2.0,Willow,woody,SRC,54.0,10.0,30.0,20.0,1.37,,,,,55.0,1,-1.0,-1.7857142857142856,3.0,2.0,5.0
356,27,99,Canada,Boisbriand,Boreal,,Melanic_Brunisol,6.8,999.6,45.616,-73.833,2007.0,LUC,2.0,Willow,woody,SRC,54.0,10.0,30.0,20.0,1.37,,,,,55.0,1,-3.5,-5.982905982905983,3.0,2.0,5.0
360,27,101,Canada,Huntingdon,Boreal,,Melanic_Brunisol,6.8,999.6,45.1333,-74.133,2007.0,LUC,9.0,Willow,woody,SRC,30.0,10.0,30.0,20.0,1.56,,,,,84.0,1,24.0,40.0,3.0,2.0,5.0
362,27,102,Canada,Huntingdon,Boreal,,Melanic_Brunisol,6.8,999.6,45.1333,-74.133,2007.0,LUC,9.0,Willow,woody,SRC,30.0,10.0,30.0,20.0,1.56,,,,,84.0,1,5.5,7.006369426751593,3.0,0.0,3.0
364,28,103,Germany,Allendorf,Boreal,,Cambisol,9.0,630.0,51.066,8.73,2011.0,LUC,4.0,Poplar,woody,SRC,4.0,4.333333333333333,14.333333333333334,9.333333333333334,1.4333333333333331,18.2,34.4,47.4,,1.4233333333333331,1,0.2866666666666664,25.219941348973585,3.0,2.0,5.0
