Unnamed: 0,ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,TYPE_CHANGE,CROP_current,CROP_type,current_land_use*,LUC_this_study,previous_land_use*,NUM_DEPTH,N_measured_current.1,temperature_Celsiul,precipitation_mm,Latitud,Longitud,years_since_luc,year_measure,soil_from_cm_current,soil_to_cm_current,depth_midpoint_current,bulk_density_Mg_m3_current,%clay_current,%silt_current,%sand_current,ph_current,SOC_Mg_ha_current,sd_SOC_Mgha_current,soil_from_cm_previous,soil_to_cm_previous,depth_midpoint_previous,Bulkdensity_previous,%clay_previous,%silt_previous,%sand_previous,ph_previous,SOC_Mg_ha_previous,SOC_change,SOC_percentage_change,csp_change,luc_rank
33,285,20,67,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.04,12.2,34.8,53.0,6.39,74.73,,0.0,30.0,15.0,,,,,,69.06,-5.670000000000002,8.210251954821896,1.0,4.0
34,286,20,68,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.91,11.6,29.9,58.6,6.44,58.9,,0.0,30.0,15.0,,,,,,45.37,-13.53,29.82146793035045,1.0,4.0
35,287,20,69,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.17,11.5,31.0,57.5,6.29,51.26,,0.0,30.0,15.0,,,,,,41.7,-9.559999999999995,22.92565947242205,1.0,4.0
36,288,20,70,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.11,6.7,26.2,67.2,6.62,59.76,,0.0,30.0,15.0,,,,,,44.36,-15.4,34.715960324616766,1.0,4.0
37,289,20,71,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.12,4.0,18.2,77.8,5.95,42.91,,0.0,30.0,15.0,,,,,,36.68,-6.229999999999997,16.984732824427475,1.0,4.0
38,290,20,72,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.01,7.1,29.7,63.2,6.37,83.1,,0.0,30.0,15.0,,,,,,81.79,-1.309999999999988,1.6016627949626945,-1.0,2.0
39,291,20,73,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.24,6.8,25.8,67.3,6.02,67.9,,0.0,30.0,15.0,,,,,,72.12,4.219999999999999,-5.851358846367164,-1.0,2.0
40,292,20,74,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.96,4.1,18.5,77.4,5.32,74.07,,0.0,30.0,15.0,,,,,,73.87,-0.1999999999999886,0.2707459049681719,-1.0,2.0
41,293,20,75,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.1,3.6,14.9,81.5,5.6,84.92,,0.0,30.0,15.0,,,,,,81.5,-3.4200000000000017,4.19631901840491,-1.0,2.0
42,294,20,76,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.09,4.7,17.0,78.3,6.17,61.4,,0.0,30.0,15.0,,,,,,58.94,-2.460000000000001,4.173736002714627,-1.0,2.0
43,295,20,77,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.08,8.1,27.3,64.7,5.62,107.77,,0.0,30.0,15.0,,,,,,116.16,8.39,-7.22279614325069,-1.0,2.0
44,296,20,78,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,1.02,4.8,19.8,75.5,5.68,67.39,,0.0,30.0,15.0,,,,,,77.51,10.120000000000005,-13.05637982195846,-1.0,2.0
45,297,20,79,Ireland,Wexford,Temperate,,,LUC,Miscanthus,grass,bioenergy,YES,grassland,1,21,10.0,953.0,52.3369,-6.4633,2.0,2008.0,0.0,30.0,15.0,0.83,9.9,27.1,63.1,6.78,90.25,,0.0,30.0,15.0,,,,,,83.11,-7.140000000000001,8.591023944170377,-1.0,2.0
46,312,23,84,France,Grignon,Temperate,,Luvisol,LUC,Miscanthus,grass,bioenergy,YES,annual_crop,3,4,11.5,557.0,48.85,1.966,20.0,2011.0,15.0,30.0,22.5,1.336666666666667,,,,8.266666666666666,40.833333333333336,4.966666666666667,15.0,30.0,22.5,1.37,,,,8.066666666666666,35.43333333333333,-5.400000000000006,15.239887111947336,1.0,4.0
48,327,25,89,USA,Texas,Arid,,,LUC,Cotton,woody,bioproduct,YES,grassland,2,15,15.0,466.0,33.73404,-101.7387,5.0,2010.0,2.5,12.5,7.5,1.23,28.5,29.5,42.0,8.15,10.05,0.96,2.5,12.5,7.5,1.265,28.5,29.5,42.0,7.8,10.6,0.5500000000000007,-5.188679245283025,-1.0,2.0
49,329,25,90,USA,Texas,Arid,,,LUC,Cotton,woody,bioproduct,YES,annual_crop,2,15,15.0,466.0,33.73404,-101.7387,5.0,2010.0,2.5,12.5,7.5,1.23,28.5,29.5,42.0,8.15,10.05,0.96,2.5,12.5,7.5,0.99,28.5,29.5,42.0,7.75,9.45,-0.6000000000000014,6.349206349206364,1.0,4.0
50,331,25,91,USA,Texas,Arid,,,LUC,Cotton,woody,bioproduct,YES,grassland,2,15,15.0,466.0,33.73404,-101.7387,5.0,2010.0,2.5,12.5,7.5,1.035,28.5,29.5,42.0,7.7,6.7,0.17,2.5,12.5,7.5,1.265,28.5,29.5,42.0,7.8,10.6,3.900000000000001,-36.79245283018869,-1.0,2.0
51,333,25,92,USA,Texas,Arid,,,LUC,Cotton,woody,bioproduct,YES,annual_crop,2,15,15.0,466.0,33.73404,-101.7387,5.0,2010.0,2.5,12.5,7.5,1.035,28.5,29.5,42.0,7.7,6.7,0.17,2.5,12.5,7.5,0.99,28.5,29.5,42.0,7.75,9.45,2.749999999999999,-29.10052910052909,1.0,4.0
55,350,27,96,Canada,Boisbriand,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,54,6.8,999.6,45.616,-73.833,1.0,2007.0,10.0,30.0,20.0,1.45,,,,,63.5,17.5,10.0,30.0,20.0,1.59,,,,,56.0,-7.5,13.392857142857142,2.0,5.0
56,352,27,97,Canada,Boisbriand,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,54,6.8,999.6,45.616,-73.833,1.0,2007.0,10.0,30.0,20.0,1.45,,,,,63.5,17.5,10.0,30.0,20.0,1.7000000000000002,,,,,58.5,-5.0,8.547008547008547,2.0,5.0
57,354,27,98,Canada,Boisbriand,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,54,6.8,999.6,45.616,-73.833,2.0,2007.0,10.0,30.0,20.0,1.37,,,,,55.0,12.5,10.0,30.0,20.0,1.59,,,,,56.0,1.0,-1.7857142857142856,2.0,5.0
58,356,27,99,Canada,Boisbriand,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,54,6.8,999.6,45.616,-73.833,2.0,2007.0,10.0,30.0,20.0,1.37,,,,,55.0,12.5,10.0,30.0,20.0,1.7000000000000002,,,,,58.5,3.5,-5.982905982905983,2.0,5.0
60,360,27,101,Canada,Huntingdon,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,annual_crop,2,30,6.8,999.6,45.1333,-74.133,9.0,2007.0,10.0,30.0,20.0,1.56,,,,,84.0,8.5,10.0,30.0,20.0,1.5550000000000002,,,,,60.0,-24.0,40.0,2.0,5.0
61,362,27,102,Canada,Huntingdon,Boreal,,Melanic_Brunisol,LUC,Willow,woody,SRC,YES,grassland,2,30,6.8,999.6,45.1333,-74.133,9.0,2007.0,10.0,30.0,20.0,1.56,,,,,84.0,8.5,10.0,30.0,20.0,1.5,,,,,78.5,-5.5,7.006369426751593,0.0,3.0
62,364,28,103,Germany,Allendorf,Boreal,,Cambisol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,9.0,630.0,51.066,8.73,4.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.4333333333333331,18.2,34.4,47.4,,1.4233333333333331,0.2733333333333334,4.333333333333333,14.333333333333334,9.333333333333334,1.5333333333333332,18.2,34.4,47.4,,1.1366666666666667,-0.2866666666666664,25.219941348973585,2.0,5.0
63,368,28,104,Germany,Allendorf,Boreal,,Cambisol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,9.0,630.0,51.066,8.73,8.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.4333333333333331,18.2,34.4,47.4,,1.6333333333333335,0.3666666666666667,4.333333333333333,14.333333333333334,9.333333333333334,1.5333333333333332,18.2,34.4,47.4,,1.4833333333333332,-0.1500000000000003,10.112359550561823,2.0,5.0
64,372,28,105,Germany,Dornburg,Boreal,,Luvisol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,8.8,585.0,51.0,11.65,12.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,28.0,67.5,4.5,,2.2500000000000004,0.2333333333333333,4.333333333333333,14.333333333333334,9.333333333333334,1.1666666666666667,28.0,67.5,4.5,,1.8666666666666665,-0.3833333333333339,20.53571428571432,2.0,5.0
65,376,28,106,Germany,Dornburg,Boreal,,Luvisol,LUC,Poplar,woody,SRC,YES,annual_crop,4,4,8.8,585.0,51.0,11.65,16.0,2011.0,4.333333333333333,14.333333333333334,9.333333333333334,1.3999999999999997,28.0,67.5,4.5,,2.2333333333333334,0.15,4.333333333333333,14.333333333333334,9.333333333333334,1.1666666666666667,28.0,67.5,4.5,,1.85,-0.3833333333333335,20.72072072072073,2.0,5.0
